3924 1705 0    96 99 78  
3912 0 0    92 161 39  
3914 0 0    61 127 36  
3871 1633 2653    63 156 165  
3915 0 0    86 92 38  
3918 1694 2667    97 129 149  
3943 1679 2629    185 106 179  
3905 1658 2642    105 107 311  
3909 1677 2656    57 103 137  
3919 1685 2656    109 139 201  
3823 0 0    69 79 131  
3914 1654 2632    68 117 348  
0 0 0    34 26 35  
3910 0 0    87 102 42  
3885 1939 2950    69 103 83  
3901 0 0    60 135 35  
3924 0 0    90 176 61  
3907 1664 2647    50 146 197  
3915 0 0    60 117 36  
3937 1678 2632    100 56 270  
3914 0 0    59 66 60  
3943 0 0    153 60 41  
9554 1682 0    123 144 32  
3966 1689 2612    71 81 121  
3946 1704 2648    101 139 89  
3925 0 0    97 60 37  
3912 0 0    73 100 38  
3910 0 0    65 80 36  
3912 1691 2671    64 174 147  
0 1706 0    74 134 40  
3936 0 0    86 140 41  
3926 7326 8503    72 179 246  
3915 0 0    109 120 33  
3949 0 0    118 136 42  
3907 0 0    90 132 45  
3932 0 8671    91 145 42  
3931 0 0    90 74 34  
3935 0 0    53 76 32  
3945 1679 2628    76 54 166  
0 0 0    31 24 30  
3904 1661 2645    71 134 177  
3926 0 0    70 75 36  
3937 1707 2660    53 91 84  
3900 0 0    54 91 31  
3957 1687 2622    89 132 181  
9913 0 0    163 102 51  
3915 0 0    112 111 38  
3935 1682 2648    72 161 169  
3937 0 0    77 87 39  
3710 1594 0    109 158 174  
3924 0 0    69 101 35  
3927 0 0    86 115 37  
3899 12876 0    88 95 46  
3933 1673 2630    101 108 197  
3943 1678 2624    113 115 147  
0 0 2672    60 95 90  
3920 1685 2658    83 154 147  
3907 0 0    92 204 34  
0 0 0    45 174 35  
3922 1696 2665    166 155 169  
3927 0 0    130 91 46  
3932 1696 2656    107 87 116  
3940 0 0    88 83 38  
0 0 0    33 28 34  
3934 1692 2650    94 89 112  
3946 0 0    87 103 37  
0 1645 2621    94 89 172  
3895 0 0    63 117 41  
3921 0 0    79 151 35  
3897 0 0    105 99 36  
3922 1681 2649    134 153 158  
3905 0 0    58 88 42  
3930 0 0    87 112 34  
3906 1662 0    86 147 285  
3914 0 0    70 72 37  
3917 0 0    92 125 76  
3916 0 0    84 144 35  
3938 1692 2644    121 128 172  
3902 0 0    66 114 37  
3906 0 0    82 139 40  
3910 1693 2673    50 184 82  
3914 0 0    67 114 40  
3903 0 0    60 104 42  
0 0 0    35 26 4  
3906 0 0    74 91 41  
3899 0 0    160 228 40  
3921 1692 2660    68 139 84  
3891 0 0    61 110 43  
3902 1673 2659    61 189 146  
3919 0 0    63 138 33  
3923 1693 0    138 95 158  
0 1714 0    97 109 36  
0 0 0    85 67 303  
3903 0 0    100 86 36  
3955 1701 2635    137 114 123  
3918 0 0    84 131 39  
3925 1677 2642    60 116 178  
3925 1670 2635    87 113 341  
0 1700 0    89 101 208  
3923 0 0    78 141 39  
3918 1690 0    82 93 128  
3938 0 0    66 87 54  
3931 0 0    133 108 43  
3942 1721 2669    71 121 86  
3894 0 0    67 144 36  
3901 1657 2645    75 132 283  
3904 0 0    56 77 37  
3913 0 0    99 86 34  
3920 0 0    69 139 72  
3903 1668 2654    80 99 140  
0 13046 2638    99 154 206  
3914 0 0    114 134 36  
3937 0 0    123 143 38  
3918 0 0    70 137 43  
3930 0 0    99 87 34  
3903 1687 0    85 141 137  
3923 0 0    120 207 33  
3936 0 0    84 98 58  
3906 0 0    64 139 37  
3907 0 0    85 126 36  
15487 0 0    87 108 40  
3920 0 0    71 122 28  
3903 1656 2642    83 101 146  
3923 0 0    97 98 41  
3917 1692 2667    72 96 103  
3909 1932 2920    49 107 169  
3925 1675 2639    128 127 214  
3919 0 0    107 145 39  
3929 0 0    105 166 157  
3881 0 0    63 120 52  
3918 0 0    91 124 39  
3936 0 0    102 97 36  
3925 1713 2678    51 86 87  
3929 0 0    118 127 36  
3928 0 0    109 102 43  
3916 1683 8595    104 102 139  
3939 1704 2663    102 99 103  
3899 0 0    69 158 37  
3914 0 0    123 152 39  
0 0 2658    75 63 77  
3931 0 2680    169 124 57  
0 1697 0    148 128 45  
3926 1693 2658    104 162 106  
3935 0 0    99 114 43  
3926 1678 2641    75 122 174  
0 0 2631    99 84 361  
0 0 0    35 121 36  
3914 1685 0    87 102 172  
3937 1812 2767    102 83 140  
0 0 0    77 113 41  
3919 1696 2666    102 113 108  
3931 1691 2652    94 99 136  
3887 1671 0    58 107 146  
3934 1677 2634    147 68 218  
3870 0 0    90 99 174  
0 0 2668    72 121 118  
3933 0 0    114 118 34  
3923 1696 2663    80 124 138  
0 1770 2641    99 70 187  
3963 1707 2632    110 69 217  
3911 1680 2657    133 213 284  
3870 12914 14365    106 88 160  
3914 0 0    125 270 51  
3942 1704 2650    198 125 137  
3906 0 0    88 88 38  
3929 1703 2670    93 117 90  
0 0 0    75 27 38  
3904 1907 2900    87 111 143  
3907 0 0    66 138 42  
3899 1664 2654    86 95 155  
3949 1675 2615    104 87 314  
3924 1692 2657    98 91 139  
3915 1679 2653    62 91 143  
3932 0 0    159 246 38  
3944 1691 2636    170 101 150  
3919 0 0    95 100 40  
0 1758 2588    48 75 149  
3929 0 0    109 95 37  
3911 0 0    82 122 35  
9778 0 0    147 134 37  
3896 0 0    48 121 36  
3946 0 0    78 90 37  
3930 1699 2659    98 137 94  
3950 0 0    141 83 37  
3903 1662 2657    77 121 166  
3923 0 0    126 126 36  
3908 1704 0    83 94 73  
3932 1684 2641    123 119 276  
3932 0 0    171 191 35  
3919 1678 2650    83 151 200  
3920 0 0    86 160 36  
3940 0 0    100 93 78  
3907 1694 2677    51 127 92  
3930 0 0    64 110 37  
0 0 0    121 168 36  
3905 0 0    102 211 45  
3909 1687 0    64 99 112  
3922 0 0    116 161 38  
3909 1668 2648    84 118 141  
0 0 0    68 92 34  
3912 0 0    46 135 35  
0 1666 0    112 131 33  
3930 0 0    80 110 36  
0 0 0    30 139 34  
3944 0 0    117 148 51  
3901 0 0    112 143 39  
3873 0 0    41 150 35  
0 0 0    94 122 47  
3918 0 0    66 94 34  
3901 1667 2656    54 117 137  
3930 0 0    102 122 38  
0 0 0    31 20 37  
3951 1688 0    88 102 161  
4000 0 0    87 154 39  
9050 1727 0    188 99 41  
3923 0 0    74 175 166  
3938 1692 2647    116 109 175  
3912 0 0    74 90 37  
3935 1693 2646    97 87 108  
3919 0 0    54 136 33  
9866 1709 0    50 194 55  
3922 1678 2647    105 98 252  
3903 7342 8546    93 76 88  
3947 12916 14288    90 88 33  
3925 1680 2647    89 133 158  
3914 1665 2642    79 108 189  
3926 0 0    105 134 60  
3916 1675 2652    89 136 153  
0 1747 2680    73 112 31  
3943 0 0    110 96 35  
3919 0 0    113 136 37  
3925 1699 2665    172 270 154  
3932 0 0    73 88 34  
3925 0 0    167 95 36  
3908 0 0    77 174 36  
3925 0 0    137 169 63  
3891 0 0    59 177 35  
3915 0 0    116 112 57  
3930 1672 2632    61 124 170  
0 0 0    85 139 38  
3901 0 0    51 124 38  
3946 1682 2625    94 90 160  
3923 0 0    93 135 40  
3913 0 0    65 117 35  
3895 0 0    69 80 33  
3940 0 0    141 110 28  
3911 0 0    175 389 32  
0 0 0    208 225 35  
3947 0 0    114 138 35  
0 0 0    35 25 40  
3908 0 0    79 119 38  
3922 0 0    137 151 29  
3914 0 0    92 111 35  
3935 1714 2669    99 100 100  
3918 1677 2646    84 134 199  
3929 1685 2644    101 120 169  
3944 0 0    96 120 34  
3938 1725 2676    136 86 101  
3923 1697 14622    139 98 106  
3940 0 0    91 93 38  
3925 0 0    84 103 36  
3932 0 0    63 70 37  
3941 1712 2660    130 117 97  
3933 0 0    184 195 34  
3919 0 0    47 85 52  
0 0 0    29 118 37  
0 0 2623    105 82 272  
3955 0 0    109 75 37  
3928 0 0    86 114 46  
3928 1698 2659    97 89 135  
3920 0 0    77 86 34  
3923 0 0    92 103 43  
3920 0 0    59 70 46  
3855 1914 2955    76 119 42  
3933 0 0    101 110 37  
3932 1718 2677    94 101 83  
3940 0 0    90 94 40  
3928 0 0    108 86 36  
0 1811 2675    108 131 205  
3912 0 0    56 128 47  
0 7365 0    149 226 35  
3930 0 0    107 164 46  
3907 0 0    101 129 42  
3897 0 0    57 134 38  
3909 1692 2676    50 142 128  
0 0 0    92 78 65  
3896 0 0    78 179 37  
3900 0 0    98 124 43  
3909 1662 2644    61 112 155  
3904 1658 2641    86 111 180  
3890 0 0    83 99 34  
3933 0 0    109 138 51  
3915 0 0    75 89 44  
3940 0 0    52 159 36  
3925 1698 2659    107 69 120  
3919 0 0    141 152 50  
3926 1694 0    107 99 124  
3937 1692 2645    83 107 138  
3895 0 2653    57 110 39  
0 1706 0    180 152 37  
0 0 2641    89 89 167  
0 1729 2670    88 76 165  
3918 1671 0    89 224 291  
3938 0 0    71 162 41  
0 0 0    92 126 40  
3920 0 0    46 127 42  
3927 0 0    128 123 40  
3919 1691 0    87 138 156  
3932 0 0    114 104 39  
3908 1643 0    105 125 281  
3931 0 0    96 92 44  
3928 0 0    66 102 42  
3913 1688 2666    112 97 132  
3922 0 0    90 96 38  
3921 0 0    103 152 36  
3916 1684 2656    85 92 189  
3910 0 0    75 130 34  
3920 1682 2652    60 79 124  
3916 1690 2669    116 133 144  
0 0 0    91 168 43  
0 0 0    30 31 42  
3924 1684 2651    113 98 138  
3932 1668 2636    112 78 282  
3896 7298 8501    71 180 133  
0 0 2656    62 111 154  
3921 1693 2663    134 135 132  
3949 0 0    106 58 42  
3926 0 0    108 116 39  
3898 1678 0    99 130 127  
3947 0 0    98 155 33  
3929 0 0    82 144 32  
3921 1673 2640    66 147 151  
0 1707 14456    102 128 33  
3906 0 0    95 98 33  
3907 1676 0    53 167 150  
3910 0 0    48 129 34  
3933 0 0    119 110 36  
3908 1666 2651    66 106 168  
3922 1666 2633    110 132 196  
3922 0 0    84 137 38  
3913 0 0    98 120 39  
0 0 0    38 25 42  
3926 1681 2645    81 124 174  
0 0 0    32 32 31  
3913 1693 2669    92 119 84  
3935 1693 2646    106 109 101  
3882 0 0    67 137 34  
3928 1567 2527    227 204 114  
3922 0 0    87 85 35  
3921 1710 2682    132 119 80  
3912 1676 2651    89 133 234  
3917 0 0    109 156 43  
3922 1681 2649    99 135 293  
3930 0 0    81 99 44  
3940 0 0    98 114 37  
3917 1667 2644    57 141 183  
3924 0 0    95 160 60  
3935 1716 2673    89 71 88  
3932 0 0    150 290 37  
3899 1652 2643    48 96 221  
3933 1726 2681    107 126 75  
3910 0 0    84 138 33  
3932 1690 2649    111 117 164  
3904 0 0    73 109 37  
3916 1682 2657    94 109 137  
3927 0 0    99 87 40  
3938 0 0    123 78 50  
3895 1655 2652    273 128 183  
3917 0 0    114 76 35  
3909 1660 2644    68 84 232  
3914 0 0    95 100 35  
3880 1659 2670    71 90 128  
3865 1636 2661    53 119 236  
3915 1686 2662    104 136 135  
3913 1689 2666    64 141 113  
3930 0 0    108 99 39  
3947 1675 0    87 85 209  
3932 1696 2654    70 137 112  
0 0 8402    123 79 177  
3931 1681 2644    82 100 204  
3867 1639 2684    57 148 133  
3930 1677 2636    63 91 122  
3927 0 0    76 81 40  
3930 1695 2656    109 134 170  
3925 0 0    79 93 150  
3921 0 0    82 152 35  
3934 1707 2664    216 164 136  
3907 0 0    62 97 40  
3888 0 0    69 295 34  
3928 1683 2645    90 112 136  
3902 1671 2659    65 115 146  
3902 0 0    93 107 41  
3918 1676 2645    87 119 188  
15522 0 8537    206 261 79  
3924 7505 8697    56 102 95  
3932 1703 2662    175 136 137  
3916 1690 2663    166 133 118  
3924 1677 2643    86 139 173  
3913 0 0    104 160 35  
3920 1686 2657    79 152 165  
3912 0 0    96 134 42  
3926 1696 0    65 87 128  
3909 1678 0    66 121 194  
3911 1667 2648    84 126 325  
0 0 0    35 126 44  
0 0 2651    80 160 147  
3935 0 0    99 89 37  
3880 13025 8506    54 126 48  
3909 0 0    78 93 39  
3911 0 0    82 116 34  
3911 1676 2656    67 131 206  
3941 0 0    119 84 41  
3924 1690 2658    81 166 148  
3929 0 0    64 202 44  
3903 0 0    87 74 53  
3920 0 0    97 101 41  
3901 0 0    73 118 44  
3924 1693 2658    79 125 138  
3920 0 0    111 107 41  
3927 0 0    172 156 38  
3926 1712 2688    161 136 91  
0 0 2647    29 95 178  
15385 0 0    148 244 40  
4016 0 0    290 119 40  
3898 0 0    63 62 38  
