3924 1688 2652    81 62 145  
3925 1687 2654    60 116 123  
0 0 2643    78 86 261  
3929 0 0    113 73 27  
0 0 0    39 25 45  
0 0 0    77 26 35  
3938 1687 2637    64 53 189  
3920 0 0    99 85 53  
3931 1707 2664    99 108 98  
3926 0 0    166 265 36  
3916 1683 2654    63 102 119  
3920 0 0    91 121 36  
3924 0 0    89 138 37  
0 1769 0    74 125 223  
3889 1658 2660    59 94 163  
3936 1703 2656    84 112 114  
3942 1675 2620    62 89 170  
3943 1688 2637    104 81 251  
3921 1678 2646    95 67 164  
3934 0 0    136 150 59  
3910 1690 2667    88 101 171  
0 0 0    69 78 37  
3945 1710 2653    87 140 36  
3908 0 0    84 87 45  
3923 0 0    86 115 36  
3900 1700 2658    175 123 290  
0 7365 2675    81 128 72  
3940 1698 2643    96 123 93  
3934 1674 2631    99 110 178  
3911 0 0    87 138 43  
0 0 8575    79 136 168  
3906 1650 2633    100 100 265  
3935 1679 2632    102 64 187  
3938 1687 2638    114 63 222  
3932 1686 2644    77 97 177  
3907 1664 2652    106 88 184  
3931 1683 2643    75 103 149  
3906 1682 2665    67 120 154  
3925 0 0    168 116 35  
3941 1696 2646    102 98 124  
0 12989 2677    112 62 174  
0 0 2654    34 196 155  
0 0 0    33 358 39  
0 0 2753    41 144 80  
3924 0 0    91 77 55  
3925 1697 2660    93 101 125  
3946 1692 2635    141 77 170  
3904 12912 14324    66 143 35  
3939 0 0    109 102 35  
3944 1698 2642    99 140 164  
3919 1703 2672    93 95 92  
3916 1652 2623    72 86 403  
3939 1708 2656    108 96 121  
3895 1666 2658    75 107 40  
3919 1672 2641    87 87 188  
3917 0 0    91 82 38  
0 1729 2643    126 80 178  
3916 13025 0    99 116 35  
3913 1677 2651    103 150 142  
3910 1688 2668    75 174 114  
0 0 0    68 157 157  
3935 0 0    103 99 34  
3932 0 0    95 91 49  
3896 0 0    89 105 43  
0 0 2638    80 94 187  
3896 1659 2653    73 142 269  
3906 1728 2711    82 111 179  
0 0 0    95 103 45  
3938 1691 2645    79 91 130  
3934 0 0    78 175 53  
3916 1672 2645    79 71 162  
3931 1680 2641    111 115 324  
3442 1693 3148    232 64 160  
3901 1680 2669    63 121 211  
3909 1716 2699    102 152 265  
3937 0 2647    104 109 48  
3949 0 0    98 140 48  
3955 0 0    114 82 38  
15477 13013 2649    138 148 260  
3915 1676 2652    76 133 164  
3918 1671 2644    66 111 201  
0 0 2673    119 152 186  
3928 1697 2656    87 112 101  
0 0 0    393 69 36  
3919 1682 2650    89 82 165  
3903 0 0    93 143 36  
0 1699 0    68 84 35  
3895 7347 0    69 134 78  
3925 0 0    111 100 38  
3909 1670 2651    85 93 185  
3906 1667 2647    58 133 155  
0 0 0    33 19 39  
3918 1656 2626    63 82 164  
3951 1694 2635    134 57 191  
3914 1672 2650    93 119 155  
3934 1711 0    122 67 89  
3926 1832 2800    92 108 178  
3943 1696 2640    153 99 124  
0 0 0    33 28 100  
3924 7211 8396    184 195 37  
3922 1674 2638    91 130 245  
